"","Country.code","Year","Region.code","Agriculture","Mining","Manufacturing","Utilities","Construction","Trade..restaurants.and.hotels","Transport..storage.and.communication","Finance..insurance..real.estate.and.business.services","Government.services","Community..social.and.personal.services","Summation.of.sector.GDP"
"354","CHN",2002,"ASI",1.99390898795439,23.1593810115829,17.3025141932716,48.0106252793432,5.9805766021541,8.81433224644945,16.3938973584929,44.8379598099269,12.0505350314806,1.32639389543452,6.66105638403615
"355","CHN",2003,"ASI",2.05602102283337,25.7718227031802,18.7466614418419,50.3503402184187,6.85269059392473,9.27710980301885,17.2041742155312,47.4145776099111,12.8373354624187,1.41381136666566,7.24396764573686
"356","CHN",2004,"ASI",2.18249724139401,32.8476760700881,17.4474505724096,61.4677856220427,7.57590995043731,9.01425669828294,18.0198067730477,46.6088249772144,13.1837688023179,1.45280893634438,7.61588833415452
"357","CHN",2005,"ASI",2.37620292905096,35.8101314884402,17.7723775097614,67.1967127465011,8.57599517217675,9.67948243360406,19.1906374006915,50.3914572495718,14.6326215456055,1.61249230701847,8.37677085906414
"358","CHN",2006,"ASI",2.59077876721136,37.3414445304467,19.3202200608044,54.8141503789739,9.20126206626746,10.7300480527314,20.4554103758885,57.9085379020846,16.039701525932,1.76755174286589,9.3219027702924
"359","CHN",2007,"ASI",2.65915376754762,38.4368496969899,19.8563527563425,59.9540092257917,9.37923194031214,11.9460737873826,21.8512572500892,66.4844328028793,16.9222510734511,2.01727736050371,10.0953306369323
"360","CHN",2008,"ASI",2.70052017566832,39.8643062368608,20.4076737577798,63.5354531940391,9.46225407885851,12.7353737314294,22.0468094927706,65.7670457272318,17.7639210107687,2.11764312805106,10.5143223825699
"361","CHN",2009,"ASI",2.94014349471067,42.6405893076984,21.8284804965821,67.9508884819858,11.0356766423823,13.817333047494,22.8244107717269,72.7372927904678,18.6637619491393,2.22493808081061,11.526082318585
"362","CHN",2010,"ASI",3.00139819081797,45.6537448175776,22.9518394523069,74.6944198232004,10.5294039316153,14.8855003855145,23.9290060262757,69.3360144635075,18.8140749936926,2.20185953148558,12.045199653554
"405","COL",1990,"LAM",38.6880720701737,608.980493963564,148.905278442222,1308.01668780886,164.673753506024,80.0205193811205,169.656992646325,163.913816610342,NA,100.072326325487,106.29610228379
"406","COL",1991,"LAM",32.8421608982656,433.923232222763,110.710715975312,1249.72007732134,126.686434816664,55.9255345604731,135.103328092373,145.410440272119,NA,75.1410649904272,82.0994806567068
"407","COL",1992,"LAM",26.1740092785259,330.740444663525,95.0508003405412,879.348397099043,95.6310211344885,47.2366148744304,119.544289832577,170.424504841164,NA,64.6131606392611,69.3669543961486
"408","COL",1993,"LAM",21.6597399341648,244.779491044348,76.7688050184424,800.411598017117,69.8492034530185,39.4995615917815,90.800717650493,104.199218436461,NA,53.8861283785294,55.9293099971208
"409","COL",1994,"LAM",16.1896507800503,218.177788718695,66.8067632513326,778.834059896932,73.298734302416,34.4908132116089,80.2050625391289,93.1692691048571,NA,47.9780659010755,48.0980802600823
"410","COL",1995,"LAM",16.5150949384749,195.361327088334,55.0210228506045,551.417138914897,53.8697803369546,28.0784833508067,64.43021417596,80.5240053334254,NA,39.52637943141,42.1241114893827
