"","Country.code","Year","Region.code","Agriculture","Mining","Manufacturing","Utilities","Construction","Trade..restaurants.and.hotels","Transport..storage.and.communication","Finance..insurance..real.estate.and.business.services","Government.services","Community..social.and.personal.services","Summation.of.sector.GDP"
"235","BWA",2008,"SSA",2.58840025437167,476.740787468515,35.1984047302639,55.1419738512092,54.6507476514976,28.2370749889449,58.6477005003687,52.7329754304487,31.9663616528749,46.3370846233294,33.623558509937
"236","BWA",2009,"SSA",2.63366107851073,247.080020417354,36.294592160642,28.1687919530766,68.3225252011759,29.4475428625659,60.6922899061836,52.682062813632,34.5904533361471,52.3590697857065,29.5248760955008
"237","BWA",2010,"SSA",3.16058487050667,521.798504537821,38.2724263226422,22.9889799423585,83.3206326799747,30.086302932315,63.1543651749831,52.144118677767,38.0030217100228,59.8169835423255,36.4293403038684
"279","CHL",1990,"LAM",4.72612719503879,44.6066170902112,11.2883382201229,42.823860724913,11.4028226083909,11.4717310689683,15.3462920425859,39.4833576357002,NA,5.90169363579837,11.6391754101096
"280","CHL",1991,"LAM",6.02858257370789,42.3873235792647,12.7677823370257,51.2094014100395,11.4405325904048,12.3896964023798,17.3719170142525,34.0859029610836,NA,6.65430629828449,12.4520853921007
"281","CHL",1992,"LAM",7.09721426836981,40.3703205465377,13.9515189879093,56.8119565020434,13.6681926018365,12.9945248627706,19.3698475198937,39.8959033310652,NA,7.7937058216827,13.8428599473704
"282","CHL",1993,"LAM",7.28849887919188,36.877558208212,15.4366639682544,59.6772928107393,15.5041935777874,13.0812641132631,20.327076813127,41.5882478677511,NA,9.27273404998994,15.0640834964943
"283","CHL",1994,"LAM",7.73135068119695,49.9535965431597,17.0608764732563,55.7831268202587,17.7916959028561,12.7691552622249,21.1903847463942,41.668466153084,NA,10.2751850988852,16.4522275988601
"284","CHL",1995,"LAM",8.55980893738339,66.6235132750236,19.1926968761455,61.2869595505437,18.7807378084528,13.8038549105797,21.3153775004982,42.0796952599256,NA,11.0197909213452,17.9859129146763
"285","CHL",1996,"LAM",8.98310268336367,56.0023615755506,20.4909623375938,53.5884784626587,20.1688231869957,14.5042556760697,25.0157076580871,43.47526857948,NA,12.3660892619742,19.1616799231313
"286","CHL",1997,"LAM",10.5114973567754,57.7467845517993,22.1341997553126,61.074132493425,20.6085550338274,15.0269405119232,25.7530525555672,46.0158177895091,NA,13.6481086552083,20.5956141885206
"287","CHL",1998,"LAM",11.5477616981394,48.704775898908,23.5627165206318,67.489110259944,19.4209009723371,15.5212713106322,29.0173635605464,48.3744969094618,NA,14.907678959907,21.6296567785283
"288","CHL",1999,"LAM",12.2231893569212,72.320137095321,26.9644948819435,67.5696541772176,20.6132117359601,14.2656518899813,29.7950157278253,46.1115741901229,NA,15.3511889710207,22.2598348974396
"289","CHL",2000,"LAM",13.2834779351365,96.8312510559362,29.4333418346799,87.5601940296533,18.7300362677955,14.5659878665892,30.3276203157674,45.5934814803601,NA,15.6741139107952,23.2181253824355
"290","CHL",2001,"LAM",10.5247269513789,100.237885202949,33.4649936084244,95.9566702838586,19.4718972249101,15.3364738240372,32.6897363198134,47.5544598164161,NA,16.8492027871404,24.2265936099221
"291","CHL",2002,"LAM",11.8953156770923,110.716860564806,34.4797517616423,95.3701865832297,19.3876035098629,13.6186496803886,32.5632561918041,46.9545975505787,NA,18.0092251978767,24.5594094587472
"292","CHL",2003,"LAM",12.7486070400367,156.804983828774,35.0486869413382,100.036131902672,21.8810048857855,14.2922412178049,33.6155913759555,45.944432977437,NA,18.2678447330472,25.772265048753
"293","CHL",2004,"LAM",12.3645673730867,237.90733505649,36.9303877509775,99.9603151951228,21.332848981076,14.7057707426707,36.6865178541533,44.91253141965,NA,17.9632968535148,27.3058687693241
"294","CHL",2005,"LAM",13.0500290395072,315.240174940524,38.7571238001857,118.319398243879,21.2854581364363,14.8168039718199,35.6763713376138,45.1654518867896,NA,17.8012357659657,28.5484987554045
"295","CHL",2006,"LAM",14.1525108000606,486.009061995907,41.7100876521729,129.626259154501,24.3155435318185,15.9491233787362,37.1592103191048,50.4533992087768,NA,20.0361403282335,33.735893949408
"296","CHL",2007,"LAM",14.7826714475747,507.597350665814,42.8627925894628,122.688587621442,26.7507001385115,16.4643280476567,37.7739497895824,53.8691822605916,NA,21.4480287802828,35.7135996281853
"297","CHL",2008,"LAM",13.8980517975768,371.944972511858,40.6195906530608,163.176588515467,31.0577398405296,17.5693535504829,36.4109042378592,54.5276175681522,NA,23.1994196707622,34.9761238328505
